From	To	Species	Gene Name
CTHRC1	ENSG00000164932	Homo sapiens	collagen triple helix repeat containing 1(CTHRC1)
RMRP	ENSG00000269900	Homo sapiens	RNA component of mitochondrial RNA processing endoribonuclease(RMRP)
RMRP	ENSG00000277027	Homo sapiens	RNA component of mitochondrial RNA processing endoribonuclease(RMRP)
RORC	ENSG00000143365	Homo sapiens	RAR related orphan receptor C(RORC)
SERPINE2	ENSG00000135919	Homo sapiens	serpin family E member 2(SERPINE2)
SBSN	ENSG00000189001	Homo sapiens	suprabasin(SBSN)
SERPINE1	ENSG00000106366	Homo sapiens	serpin family E member 1(SERPINE1)
IGLL5	ENSG00000254709	Homo sapiens	immunoglobulin lambda like polypeptide 5(IGLL5)
GATM	ENSG00000171766	Homo sapiens	glycine amidinotransferase(GATM)
C4A	ENSG00000244731	Homo sapiens	complement C4A (Rodgers blood group)(C4A)
C4B	ENSG00000224389	Homo sapiens	complement C4B (Chido blood group)(C4B)
PDPN	ENSG00000162493	Homo sapiens	podoplanin(PDPN)
KIF5C	ENSG00000168280	Homo sapiens	kinesin family member 5C(KIF5C)
SERPING1	ENSG00000149131	Homo sapiens	serpin family G member 1(SERPING1)
HLA-DQA1	ENSG00000196735	Homo sapiens	major histocompatibility complex, class II, DQ alpha 1(HLA-DQA1)
THY1	ENSG00000154096	Homo sapiens	Thy-1 cell surface antigen(THY1)
JUP	ENSG00000173801	Homo sapiens	junction plakoglobin(JUP)
F5	ENSG00000198734	Homo sapiens	coagulation factor V(F5)
TAGLN	ENSG00000149591	Homo sapiens	transgelin(TAGLN)
SERPINF1	ENSG00000132386	Homo sapiens	serpin family F member 1(SERPINF1)
SERPINF2	ENSG00000167711	Homo sapiens	serpin family F member 2(SERPINF2)
TMEM139	ENSG00000178826	Homo sapiens	transmembrane protein 139(TMEM139)
BACE2	ENSG00000182240	Homo sapiens	beta-site APP-cleaving enzyme 2(BACE2)
F3	ENSG00000117525	Homo sapiens	coagulation factor III, tissue factor(F3)
MYBL2	ENSG00000101057	Homo sapiens	MYB proto-oncogene like 2(MYBL2)
PFN2	ENSG00000070087	Homo sapiens	profilin 2(PFN2)
TMEM125	ENSG00000179178	Homo sapiens	transmembrane protein 125(TMEM125)
UPK1B	ENSG00000114638	Homo sapiens	uroplakin 1B(UPK1B)
AHNAK2	ENSG00000185567	Homo sapiens	AHNAK nucleoprotein 2(AHNAK2)
SPP1	ENSG00000118785	Homo sapiens	secreted phosphoprotein 1(SPP1)
PHYHIPL	ENSG00000165443	Homo sapiens	phytanoyl-CoA 2-hydroxylase interacting protein like(PHYHIPL)
UPK3B	ENSG00000276184	Homo sapiens	uroplakin 3B(UPK3B)
HBA2	ENSG00000188536	Homo sapiens	hemoglobin subunit alpha 2(HBA2)
HBA1	ENSG00000206172	Homo sapiens	hemoglobin subunit alpha 1(HBA1)
CAMK2N1	ENSG00000162545	Homo sapiens	calcium/calmodulin dependent protein kinase II inhibitor 1(CAMK2N1)
PKP1	ENSG00000081277	Homo sapiens	plakophilin 1(PKP1)
PKP3	ENSG00000184363	Homo sapiens	plakophilin 3(PKP3)
AREG	ENSG00000109321	Homo sapiens	amphiregulin(AREG)
GFAP	ENSG00000131095	Homo sapiens	glial fibrillary acidic protein(GFAP)
ELF3	ENSG00000163435	Homo sapiens	E74 like ETS transcription factor 3(ELF3)
TP63	ENSG00000073282	Homo sapiens	tumor protein p63(TP63)
DMKN	ENSG00000161249	Homo sapiens	dermokine(DMKN)
SERPINA5	ENSG00000188488	Homo sapiens	serpin family A member 5(SERPINA5)
SERPINA3	ENSG00000273259	Homo sapiens	serpin family A member 3(SERPINA3)
SERPINA3	ENSG00000196136	Homo sapiens	serpin family A member 3(SERPINA3)
CEACAM6	ENSG00000086548	Homo sapiens	carcinoembryonic antigen related cell adhesion molecule 6(CEACAM6)
CEACAM5	ENSG00000105388	Homo sapiens	carcinoembryonic antigen related cell adhesion molecule 5(CEACAM5)
SERPINA1	ENSG00000197249	Homo sapiens	serpin family A member 1(SERPINA1)
BHLHE41	ENSG00000123095	Homo sapiens	basic helix-loop-helix family member e41(BHLHE41)
LYZ	ENSG00000090382	Homo sapiens	lysozyme(LYZ)
CACNG4	ENSG00000075461	Homo sapiens	calcium voltage-gated channel auxiliary subunit gamma 4(CACNG4)
PKDCC	ENSG00000162878	Homo sapiens	protein kinase domain containing, cytoplasmic(PKDCC)
SLC3A1	ENSG00000138079	Homo sapiens	solute carrier family 3 member 1(SLC3A1)
MMP14	ENSG00000157227	Homo sapiens	matrix metallopeptidase 14(MMP14)
MMP13	ENSG00000137745	Homo sapiens	matrix metallopeptidase 13(MMP13)
MMP12	ENSG00000262406	Homo sapiens	matrix metallopeptidase 12(MMP12)
ST6GALNAC2	ENSG00000070731	Homo sapiens	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2(ST6GALNAC2)
MMP11	ENSG00000099953	Homo sapiens	matrix metallopeptidase 11(MMP11)
ST6GALNAC1	ENSG00000070526	Homo sapiens	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1(ST6GALNAC1)
MMP10	ENSG00000166670	Homo sapiens	matrix metallopeptidase 10(MMP10)
CLIC3	ENSG00000169583	Homo sapiens	chloride intracellular channel 3(CLIC3)
SERPINB5	ENSG00000206075	Homo sapiens	serpin family B member 5(SERPINB5)
CPXM1	ENSG00000088882	Homo sapiens	carboxypeptidase X, M14 family member 1(CPXM1)
ESRP1	ENSG00000104413	Homo sapiens	epithelial splicing regulatory protein 1(ESRP1)
SPRR3	ENSG00000163209	Homo sapiens	small proline rich protein 3(SPRR3)
VCAN	ENSG00000038427	Homo sapiens	versican(VCAN)
SERPINB3	ENSG00000057149	Homo sapiens	serpin family B member 3(SERPINB3)
DEGS2	ENSG00000168350	Homo sapiens	delta 4-desaturase, sphingolipid 2(DEGS2)
HLA-DQB1	ENSG00000179344	Homo sapiens	major histocompatibility complex, class II, DQ beta 1(HLA-DQB1)
FMOD	ENSG00000122176	Homo sapiens	fibromodulin(FMOD)
C7	ENSG00000112936	Homo sapiens	complement C7(C7)
C3	ENSG00000125730	Homo sapiens	complement C3(C3)
NNAT	ENSG00000053438	Homo sapiens	neuronatin(NNAT)
JCHAIN	ENSG00000132465	Homo sapiens	joining chain of multimeric IgA and IgM(JCHAIN)
SORBS2	ENSG00000154556	Homo sapiens	sorbin and SH3 domain containing 2(SORBS2)
C2	ENSG00000166278	Homo sapiens	complement C2(C2)
SNAP25	ENSG00000132639	Homo sapiens	synaptosome associated protein 25(SNAP25)
PHLDA2	ENSG00000181649	Homo sapiens	pleckstrin homology like domain family A member 2(PHLDA2)
TRIM29	ENSG00000137699	Homo sapiens	tripartite motif containing 29(TRIM29)
PDK4	ENSG00000004799	Homo sapiens	pyruvate dehydrogenase kinase 4(PDK4)
IGF2	ENSG00000167244	Homo sapiens	insulin like growth factor 2(IGF2)
CP	ENSG00000047457	Homo sapiens	ceruloplasmin(CP)
LRP2	ENSG00000081479	Homo sapiens	LDL receptor related protein 2(LRP2)
PSAT1	ENSG00000135069	Homo sapiens	phosphoserine aminotransferase 1(PSAT1)
PRSS23	ENSG00000150687	Homo sapiens	protease, serine 23(PRSS23)
HPGD	ENSG00000164120	Homo sapiens	hydroxyprostaglandin dehydrogenase 15-(NAD)(HPGD)
PRSS22	ENSG00000005001	Homo sapiens	protease, serine 22(PRSS22)
PRSS21	ENSG00000007038	Homo sapiens	protease, serine 21(PRSS21)
ENHO	ENSG00000168913	Homo sapiens	energy homeostasis associated(ENHO)
CDH11	ENSG00000140937	Homo sapiens	cadherin 11(CDH11)
FDCSP	ENSG00000181617	Homo sapiens	follicular dendritic cell secreted protein(FDCSP)
MPZL2	ENSG00000149573	Homo sapiens	myelin protein zero like 2(MPZL2)
LMO3	ENSG00000048540	Homo sapiens	LIM domain only 3(LMO3)
KIAA1324	ENSG00000116299	Homo sapiens	KIAA1324(KIAA1324)
TCEAL2	ENSG00000184905	Homo sapiens	transcription elongation factor A like 2(TCEAL2)
CXCL10	ENSG00000169245	Homo sapiens	C-X-C motif chemokine ligand 10(CXCL10)
AZGP1	ENSG00000160862	Homo sapiens	alpha-2-glycoprotein 1, zinc-binding(AZGP1)
SEZ6L2	ENSG00000174938	Homo sapiens	seizure related 6 homolog like 2(SEZ6L2)
CDKN2A	ENSG00000147889	Homo sapiens	cyclin dependent kinase inhibitor 2A(CDKN2A)
TGFBI	ENSG00000120708	Homo sapiens	transforming growth factor beta induced(TGFBI)
MB	ENSG00000198125	Homo sapiens	myoglobin(MB)
STMN2	ENSG00000104435	Homo sapiens	stathmin 2(STMN2)
MGP	ENSG00000111341	Homo sapiens	matrix Gla protein(MGP)
TFAP2A	ENSG00000137203	Homo sapiens	transcription factor AP-2 alpha(TFAP2A)
TFAP2C	ENSG00000087510	Homo sapiens	transcription factor AP-2 gamma(TFAP2C)
CCL2	ENSG00000108691	Homo sapiens	C-C motif chemokine ligand 2(CCL2)
BEX1	ENSG00000133169	Homo sapiens	brain expressed X-linked 1(BEX1)
BEX2	ENSG00000133134	Homo sapiens	brain expressed X-linked 2(BEX2)
IL32	ENSG00000008517	Homo sapiens	interleukin 32(IL32)
MDK	ENSG00000110492	Homo sapiens	midkine (neurite growth-promoting factor 2)(MDK)
PRUNE2	ENSG00000106772	Homo sapiens	prune homolog 2(PRUNE2)
PEG10	ENSG00000242265	Homo sapiens	paternally expressed 10(PEG10)
CERS1	ENSG00000223802	Homo sapiens	ceramide synthase 1(CERS1)
TTYH1	ENSG00000167614	Homo sapiens	tweety family member 1(TTYH1)
TFF3	ENSG00000160180	Homo sapiens	trefoil factor 3(TFF3)
TMEM30B	ENSG00000182107	Homo sapiens	transmembrane protein 30B(TMEM30B)
TFF1	ENSG00000160182	Homo sapiens	trefoil factor 1(TFF1)
GABRP	ENSG00000094755	Homo sapiens	gamma-aminobutyric acid type A receptor pi subunit(GABRP)
MUC1	ENSG00000185499	Homo sapiens	mucin 1, cell surface associated(MUC1)
TMEM59L	ENSG00000105696	Homo sapiens	transmembrane protein 59 like(TMEM59L)
S100P	ENSG00000163993	Homo sapiens	S100 calcium binding protein P(S100P)
MET	ENSG00000105976	Homo sapiens	MET proto-oncogene, receptor tyrosine kinase(MET)
FOXA1	ENSG00000129514	Homo sapiens	forkhead box A1(FOXA1)
MUC4	ENSG00000145113	Homo sapiens	mucin 4, cell surface associated(MUC4)
CXCL17	ENSG00000189377	Homo sapiens	C-X-C motif chemokine ligand 17(CXCL17)
DSG2	ENSG00000046604	Homo sapiens	desmoglein 2(DSG2)
CXCL14	ENSG00000145824	Homo sapiens	C-X-C motif chemokine ligand 14(CXCL14)
S100B	ENSG00000160307	Homo sapiens	S100 calcium binding protein B(S100B)
DSG3	ENSG00000134757	Homo sapiens	desmoglein 3(DSG3)
CXCL13	ENSG00000156234	Homo sapiens	C-X-C motif chemokine ligand 13(CXCL13)
FABP3	ENSG00000121769	Homo sapiens	fatty acid binding protein 3(FABP3)
FABP4	ENSG00000170323	Homo sapiens	fatty acid binding protein 4(FABP4)
FABP1	ENSG00000163586	Homo sapiens	fatty acid binding protein 1(FABP1)
FABP7	ENSG00000164434	Homo sapiens	fatty acid binding protein 7(FABP7)
FABP5	ENSG00000164687	Homo sapiens	fatty acid binding protein 5(FABP5)
FABP6	ENSG00000170231	Homo sapiens	fatty acid binding protein 6(FABP6)
CLDN7	ENSG00000181885	Homo sapiens	claudin 7(CLDN7)
CLDN4	ENSG00000189143	Homo sapiens	claudin 4(CLDN4)
CLDN3	ENSG00000165215	Homo sapiens	claudin 3(CLDN3)
CYP2S1	ENSG00000167600	Homo sapiens	cytochrome P450 family 2 subfamily S member 1(CYP2S1)
OGDHL	ENSG00000197444	Homo sapiens	oxoglutarate dehydrogenase-like(OGDHL)
HP	ENSG00000257017	Homo sapiens	haptoglobin(HP)
SDC4	ENSG00000124145	Homo sapiens	syndecan 4(SDC4)
SDC2	ENSG00000169439	Homo sapiens	syndecan 2(SDC2)
MBP	ENSG00000197971	Homo sapiens	myelin basic protein(MBP)
